,Link,Company,Location,Title,Date
58,https://seedfund.nsf.gov/awardees/history/details/?company=phytunes-inc,PHYTUNES INC,"PALO ALTO, CA",SBIR Phase II: Wireless-Wireline Convergence,11/27/2023
59,https://seedfund.nsf.gov/awardees/history/details/?company=set-point-solutions-llc,SET POINT SOLUTIONS LLC,"TOTO, GU",SBIR Phase I: Set Point Solutions - Safeguarding Lives By Enabling Communication in Austere and Remote Environments,11/27/2023
62,https://seedfund.nsf.gov/awardees/history/details/?company=firstthen-inc,FIRSTTHEN INC,"DALLAS, TX",SBIR Phase I: A novel caregiver-centered mobile app and artificial intelligence (AI) coaching intervention for pediatric Attention Deficit Hyperactivity Disorder (ADHD),11/16/2023
64,https://seedfund.nsf.gov/awardees/history/details/?company=tile-farm-llc,TILE FARM LLC,"ALBUQUERQUE, NM","SBIR Phase II: Making Math Intuitive, Creative, and Social in Tile Farm Classroom",11/16/2023
66,https://seedfund.nsf.gov/awardees/history/details/?company=snochip-inc,SNOCHIP INC,"PLAINSBORO, NJ",SBIR Phase I: All-Semiconductor Nanostructured Lenses for High-Tech Industries,11/14/2023
68,https://seedfund.nsf.gov/awardees/history/details/?company=tendo-technologies-inc,TENDO TECHNOLOGIES INC,"PRINCETON, NJ",SBIR Phase II: Development of an industrial flow meter for low-volume dispensing,11/09/2023
71,https://seedfund.nsf.gov/awardees/history/details/?company=censyn-inc,CENSYN INC,"LAKE FOREST, CA",SBIR Phase I: PenEEG: An Objective Assessment Tool for Concussion and Recovery Management,11/07/2023
72,https://seedfund.nsf.gov/awardees/history/details/?company=e2-unlimited-technologies-llc,"E-2 UNLIMITED TECHNOLOGIES, LLC","ANNAPOLIS, MD",SBIR Phase I: Safeguard Kids and Maintain Privacy,11/07/2023
74,https://seedfund.nsf.gov/awardees/history/details/?company=hoverr-inc,HOVERR INC.,"SAN JOSE, CA",SBIR Phase I: Quantum Propulsion,09/25/2023
76,https://seedfund.nsf.gov/awardees/history/details/?company=aineotech-llc,AI-NEOTECH LLC,"HOLLYWOOD, FL",STTR Phase I: Patient-Specific System for Early Detection and Identification of Epileptic Seizures,09/21/2023
77,https://seedfund.nsf.gov/awardees/history/details/?company=astrolabe-analytics-inc,"ASTROLABE ANALYTICS, INC.","SEATTLE, WA",SBIR Phase II: Forecasting Battery Health and Maintenance using Data-Driven Predictive Analytics,09/21/2023
78,https://seedfund.nsf.gov/awardees/history/details/?company=thintronics-inc,THINTRONICS INC,"BERKELEY, CA",SBIR Phase I: The Next Generation of High-Speed Dielectric Materials,09/21/2023
79,https://seedfund.nsf.gov/awardees/history/details/?company=word-of-mouth-technologies-inc,WORD OF MOUTH TECHNOLOGIES INC.,"LAS VEGAS, NV",SBIR Phase I: A language learning app based on sound and mouth movements,09/21/2023
80,https://seedfund.nsf.gov/awardees/history/details/?company=123-see-inc,"123 SEE, INC.","BOSTON, MA",SBIR Phase II: Gaze-independent contactless autorefractor for self-serve eye exam kiosk.,09/20/2023
81,https://seedfund.nsf.gov/awardees/history/details/?company=aidar-health-inc,"AIDAR HEALTH, INC","PIKESVILLE, MD",STTR Phase II: Development of a Smart Remote Health Management System for Patients with Kidney Disease,09/20/2023
84,https://seedfund.nsf.gov/awardees/history/details/?company=dextrous-robotics-inc,"DEXTROUS ROBOTICS, INC.","MEMPHIS, TN",SBIR Phase II: Automated Perception for Robotic Chopsticks Manipulating Small and Large Objects in Constrained Spaces,09/20/2023
85,https://seedfund.nsf.gov/awardees/history/details/?company=emtruth-inc,"EMTRUTH, INC.","GLENDALE, CA",SBIR Phase II: A Platform for Health Care Data Integration Using Blockchain and Artificial Intelligence,09/20/2023
87,https://seedfund.nsf.gov/awardees/history/details/?company=kcore-analytics-llc,KCORE ANALYTICS LLC,"NEW YORK, NY",SBIR Phase I: Artificial Intelligence and Network Theory for Elections,09/20/2023
89,https://seedfund.nsf.gov/awardees/history/details/?company=lisa-fitzpatrick--associates-md-pc,LISA FITZPATRICK & ASSOCIATES MD PC,"WASHINGTON, DC",SBIR Phase II: HealthText: Providing digital healthcare navigation for underserved communities in the US,09/20/2023
93,https://seedfund.nsf.gov/awardees/history/details/?company=qasai-inc,QAS.AI INC,"EAST AMHERST, NY",SBIR Phase II: An AI-Enhanced Angiographic System to Guide Endovascular Treatment of Intracranial Aneurysms,09/20/2023
95,https://seedfund.nsf.gov/awardees/history/details/?company=screen360tv-inc,"SCREEN360.TV, INC.","PORTLAND, OR",SBIR Phase I: A platform for cross-cultural collaborative learning by 6th-12th graders based on synchronous watching of international films from different locations,09/20/2023
96,https://seedfund.nsf.gov/awardees/history/details/?company=smart-girls-hq-llc,SMART GIRLS HQ LLC,"CHARLOTTE, NC",SBIR Phase II: A Digital Platform That Engages Elementary Aged Girls in STEM Through Personalized Informal Learning,09/20/2023
97,https://seedfund.nsf.gov/awardees/history/details/?company=solarid-ar-llc,"SOLARID AR, LLC.","CLINTON, AR",SBIR Phase II: Real-time computer automated identification and quantification of insects entering the SolaRid insect control device (ICD),09/20/2023
98,https://seedfund.nsf.gov/awardees/history/details/?company=sunthetics-inc,"SUNTHETICS, INC.","SAN MARCOS, TX",SBIR Phase II: Accelerating R&D through Streamlined Machine Learning Algorithms for Small Data Applications in Advanced Manufacturing,09/20/2023
102,https://seedfund.nsf.gov/awardees/history/details/?company=us-air-tech-llc,"US AIR TECH, LLC","TUCSON, AZ",SBIR Phase II: SATCOM TECHNOLOGY OF ELABORATE LUNEBURG LENS ANTENNA,09/20/2023
103,https://seedfund.nsf.gov/awardees/history/details/?company=vapor-cell-technologies-llc,VAPOR CELL TECHNOLOGIES LLC,"BOULDER, CO",SBIR Phase II: Chip-Scale Optical Frequency Standards,09/20/2023
104,https://seedfund.nsf.gov/awardees/history/details/?company=vectech-llc,"VECTECH, LLC","BALTIMORE, MD",SBIR Phase II: Advanced Computer Vision Methods for Diagnostic Medical Entomology,09/20/2023
106,https://seedfund.nsf.gov/awardees/history/details/?company=diamond-age-technology-llc,DIAMOND AGE TECHNOLOGY LLC,"HOUSTON, TX",SBIR Phase II: Composing Digital-Twins from Disparate Data Sources,09/18/2023
108,https://seedfund.nsf.gov/awardees/history/details/?company=zs-systems-llc,ZS SYSTEMS LLC,"LAFAYETTE, IN",SBIR Phase II: Novel Manufacturing Method for Precision Optical Encoders,09/18/2023
110,https://seedfund.nsf.gov/awardees/history/details/?company=light-research-inc,LIGHT RESEARCH INC,"TUCSON, AZ","STTR Phase I: Snapshot, on-machine metrology system for high-precision optical manufacturing",09/15/2023
112,https://seedfund.nsf.gov/awardees/history/details/?company=nu-planet-pharmaceutical-radioisotopes-inc,"NU PLANET PHARMACEUTICAL RADIOISOTOPES, INC.","SCOTTSDALE, AZ",SBIR Phase I: Low-Cost Isotope Battery for Long-Lived Applications,09/15/2023
113,https://seedfund.nsf.gov/awardees/history/details/?company=pointpro-inc,"POINTPRO, INC.","COLUMBUS, OH",SBIR Phase I: A Fully Autonomous Prognostic Digital Twin for Smart Manufacturing,09/15/2023
119,https://seedfund.nsf.gov/awardees/history/details/?company=epiimaging-llc,"EPIImaging, LLC","LOS ALTOS, CA",SBIR Phase II: Epipolar-Plane Imaging for Robot 3D Vision,09/14/2023
123,https://seedfund.nsf.gov/awardees/history/details/?company=labby-inc,LABBY INC.,"BRIGHTON, MA",SBIR Phase II: Artificial intelligence powered optical spectrometer technology for farm-level milk testing,09/14/2023
124,https://seedfund.nsf.gov/awardees/history/details/?company=lambda-function-inc,"LAMBDA FUNCTION, INC.","BRENTWOOD, CA",SBIR Phase II: An artificial intelligence system for autonomous numerical control programming for advanced manufacturing,09/14/2023
131,https://seedfund.nsf.gov/awardees/history/details/?company=teraspatial-inc,TERASPATIAL INC,"PALO ALTO, CA",SBIR Phase I: Simultaneous Transmit-Receive and Full-Duplex Millimeter-Wave Massive Multiple-Input and Multiple-Output (MIMO) Systems,09/14/2023
136,https://seedfund.nsf.gov/awardees/history/details/?company=zanet-analytics-corporation,ZANET ANALYTICS CORPORATION,"EASTON, PA",SBIR Phase I: A Technology-Enhanced Statistics Learning Software App,09/14/2023
137,https://seedfund.nsf.gov/awardees/history/details/?company=lavo-life-sciences-inc,LAVO LIFE SCIENCES INC,"ATLANTA, GA",SBIR Phase I: A physics-based machine learning platform for crystal structure prediction of small drug molecules,09/13/2023
138,https://seedfund.nsf.gov/awardees/history/details/?company=agile-rf-systems-llc,Agile RF Systems LLC,"BERTHOUD, CO",SBIR Phase I: Multiple input multiple output (MIMO) radar processing module for significantly enhanced detection of severe weather and disaster management,09/11/2023
140,https://seedfund.nsf.gov/awardees/history/details/?company=la-luce-cristallina-inc,"LA LUCE CRISTALLINA, INC.","AUSTIN, TX",STTR Phase I: Silicon-Integrated Epitaxial Barium Titanate (BaTiO3) Chips for Photonics Applications,09/11/2023
142,https://seedfund.nsf.gov/awardees/history/details/?company=esm-global-productions-llc,ESM GLOBAL PRODUCTIONS LLC,"PORTLAND, ME",SBIR Phase I: Artificial Intelligence (AI)-Enabled African Language Database,09/08/2023
143,https://seedfund.nsf.gov/awardees/history/details/?company=guardiansat-llc,GUARDIANSAT LLC,"BETHANY BEACH, DE",STTR Phase I: Space Debris Awareness Spectrum,09/08/2023
144,https://seedfund.nsf.gov/awardees/history/details/?company=lutris-inc,"LUTRIS, INC.","BERKELEY, CA",SBIR Phase I: Massively Parallel Protocols for Software-based Wireless Systems,09/08/2023
145,https://seedfund.nsf.gov/awardees/history/details/?company=metabob-inc,METABOB INC,"MOUNTAIN VIEW, CA",SBIR Phase I: The Development of an Artificial Analysis (AI) Static Code Analysis Platform to Increase Software Developer Productivity,09/08/2023
147,https://seedfund.nsf.gov/awardees/history/details/?company=alerje-inc,"ALERJE, INC.","DETROIT, MI",SBIR Phase II: A digital platform to support food allergy oral immunotherapy treatments,09/07/2023
148,https://seedfund.nsf.gov/awardees/history/details/?company=biotronic-innovations-llc,BIOTRONIC INNOVATIONS LLC,"FLAGSTAFF, AZ",SBIR Phase I: Path Planning for Multi-target Search and Localization in Co-Robotic Architectures,09/07/2023
149,https://seedfund.nsf.gov/awardees/history/details/?company=calis-books-llc,"CALI'S BOOKS, LLC","LOS ANGELES, CA",SBIR Phase I: Novel device to enhance the traditional paper book reading experience for young children,09/07/2023
150,https://seedfund.nsf.gov/awardees/history/details/?company=l5-automation-inc,L5 AUTOMATION INC.,"LA CANADA FLINTRIDGE, CA",SBIR Phase I: Trajectory Optimizations and Learned Foliage Manipulation to Accelerate Throughput in Automated Strawberry Harvesting,09/07/2023
151,https://seedfund.nsf.gov/awardees/history/details/?company=livedx-inc,LIVEDX INC.,"DENVER, CO",SBIR Phase I: An inclusive machine learning-based digital platform to credential soft skills,09/07/2023
153,https://seedfund.nsf.gov/awardees/history/details/?company=surgic-llc,"SURGIC, LLC","LUBBOCK, TX",SBIR Phase I: Surgical training platform with customizable training scenarios enabled by 3D printing and artificial intelligence,09/07/2023
159,https://seedfund.nsf.gov/awardees/history/details/?company=grain-weevil-corporation,GRAIN WEEVIL CORPORATION,"AURORA, NE",SBIR Phase II: Improving farmer safety and grain storage efficiencies via an autonomous grain management and extraction robot,09/05/2023
160,https://seedfund.nsf.gov/awardees/history/details/?company=little-room-innovations-llc,"LITTLE ROOM INNOVATIONS, LLC","ANN ARBOR, MI",STTR Phase I: A Novel Prescription Process that Customizes Prosthetic Feet for Individual Patients,09/05/2023
161,https://seedfund.nsf.gov/awardees/history/details/?company=madison-scientific-inc,"MADISON SCIENTIFIC, INC.","MADISON, WI",SBIR Phase II: Smart Shunt to Treat Hydrocephalus,09/05/2023
164,https://seedfund.nsf.gov/awardees/history/details/?company=uninet-llc,UNINET LLC,"NEW HAVEN, CT",SBIR Phase I: Software-Defined Networking and Resource Virtualization in Low Earth Orbit (LEO) Satellite Constellations,09/05/2023
165,https://seedfund.nsf.gov/awardees/history/details/?company=voltela-inc,VOLTELA INC,"NEW YORK, NY",SBIR Phase II: A software-based tool for beyond visual line of sight (BVLOS) drone's connection reliability enhancement,09/05/2023
167,https://seedfund.nsf.gov/awardees/history/details/?company=empallo-inc,"EMPALLO, INC.","ATLANTA, GA",SBIR Phase I: Developing Artificial intelligence Models to Predict In-hospital Clinical Trajectories for Heart Failure Patients,08/30/2023
169,https://seedfund.nsf.gov/awardees/history/details/?company=earth-mapping-international-inc,"Earth Mapping International, Inc.","NORCROSS, GA",SBIR Phase I: Dynamic OneSource Geospatial Information System for Maximizing Agricultural Yields,08/29/2023
170,https://seedfund.nsf.gov/awardees/history/details/?company=encoord-inc,ENCOORD INC,"DENVER, CO",SBIR Phase I: A hybrid phasor/waveform simulation tool for the accurate and efficient simulation of large electric power systems with high shares of inverter-based resources,08/29/2023
172,https://seedfund.nsf.gov/awardees/history/details/?company=marwell-bio-inc,MARWELL BIO INC.,"SOUTH SAN FRANCISCO, CA",SBIR Phase I: Advanced Deep Learning Technologies for Designing Humanized Antibody,08/29/2023
174,https://seedfund.nsf.gov/awardees/history/details/?company=sixline-semiconductor-inc,"SIXLINE SEMICONDUCTOR, INC.","MIDDLETON, WI","STTR Phase I: Next-Gen Radiofrequency Transistors on Silicon via Aligned, Residue-Free Carbon Nanotubes",08/29/2023
175,https://seedfund.nsf.gov/awardees/history/details/?company=sown-to-grow-inc,"SOWN TO GROW, INC.","OAKLAND, CA",SBIR Phase I: Sown To Grow - Measuring Growth in Trusting Relationships between Students and Educators with Natural Language Processing and Machine Learning Technologies,08/29/2023
179,https://seedfund.nsf.gov/awardees/history/details/?company=matmerize-inc,"MATMERIZE, INC.","DOVER, DE",SBIR Phase I: A Physics-Informed/Encoded Polymer Informatics Platform for Accelerated Development of Advanced Polymers and Formulations,08/25/2023
183,https://seedfund.nsf.gov/awardees/history/details/?company=qubitsolve-inc,QUBITSOLVE INC.,"MORGANTOWN, WV",SBIR Phase I: Computational Fluid Dynamics Software for Quantum Computers,08/25/2023
185,https://seedfund.nsf.gov/awardees/history/details/?company=salus-llc,"SALUS, LLC","CHARLOTTE, NC",SBIR Phase I: Digital Underwriting Platform for Underserved Borrowers,08/25/2023
187,https://seedfund.nsf.gov/awardees/history/details/?company=3fatesxray-inc,"3FATES-XRAY, INC.","SUNNYVALE, CA",SBIR Phase I: Single-shot X-ray Phase-contrast Imaging Using Deep Learning Approaches,08/23/2023
189,https://seedfund.nsf.gov/awardees/history/details/?company=linfinity-labs-inc,"L-Infinity Labs, Inc.","Framingham, MA",SBIR Phase I: Secure Image Recognition and Machine Learning Using Advanced Cryptography,08/23/2023
190,https://seedfund.nsf.gov/awardees/history/details/?company=neurodyne-inc,"NEURODYNE, INC.","GERMANTOWN, TN","SBIR Phase II: Analog front end (AFE) platform for lightweight, long-term, cortical monitoring",08/23/2023
193,https://seedfund.nsf.gov/awardees/history/details/?company=skywalk-inc,SKYWALK INC.,"PALO ALTO, CA",SBIR Phase I: Overcoming interaction barriers in augmented reality via wearable multimodal sensing,08/22/2023
194,https://seedfund.nsf.gov/awardees/history/details/?company=brave-virtual-worlds-inc,"BRAVE VIRTUAL WORLDS, INC.","AUSTIN, TX",SBIR Phase I: Brave Virtual Worlds Human Movement Artificial Intelligence (AI) Engine and Biofeedback Loop,08/21/2023
195,https://seedfund.nsf.gov/awardees/history/details/?company=industrial-analytics-and-modeling-inc,"INDUSTRIAL ANALYTICS AND MODELING, INC.","AUSTIN, TX","SBIR Phase I: The Automated Forensic Economist: Towards Affordability, Transparency, and Efficiency in Forensic Economics",08/21/2023
200,https://seedfund.nsf.gov/awardees/history/details/?company=initium-ai-inc,INITIUM AI INC.,"ANN ARBOR, MI",SBIR Phase II: AI for Enhanced Processing of Digital Conversations,08/18/2023
202,https://seedfund.nsf.gov/awardees/history/details/?company=parthian-battery-solutions-llc,"PARTHIAN BATTERY SOLUTIONS, LLC","MORGANTOWN, WV",STTR Phase I: Novel State of Health Measurements Through Advanced Lithium-ion Battery Modeling for Secure and Scalable 2nd-Life Battery Deployment,08/18/2023
203,https://seedfund.nsf.gov/awardees/history/details/?company=silicon-assurance-llc,SILICON ASSURANCE LLC,"GAINESVILLE, FL",SBIR Phase II: A Software Platform for Assessment of Untrusted Electronics,08/18/2023
204,https://seedfund.nsf.gov/awardees/history/details/?company=iiam-corporation,IIAM CORPORATION,"BOSTON, MA",SBIR Phase I: Predictive Analytics and Machine Learning Modeling for New Patient Cancer Referrals,08/16/2023
206,https://seedfund.nsf.gov/awardees/history/details/?company=opal-htm-inc,OPAL HTM INC,"WHITE PLAINS, MD",STTR Phase I: Novel Medical Equipment Utilization Tracking System for Improved Patient Safety and Hospital Efficiency,08/16/2023
207,https://seedfund.nsf.gov/awardees/history/details/?company=taumat-llc,TAUMAT LLC,"SILVER SPRING, MD",SBIR Phase I: Innovative Solid-State Phase Change Cooling to Supercharge Central Processing Unit (CPU) Performance,08/16/2023
208,https://seedfund.nsf.gov/awardees/history/details/?company=mente-inc,"MENTE, INC.","BOSTON, MA",SBIR Phase II: Mentelist: Predictive Management of Surgical Instruments,08/14/2023
210,https://seedfund.nsf.gov/awardees/history/details/?company=ai-acuity,AI ACUITY,"STANFORD, CA",SBIR Phase I: Improved image compression targeting machine learning based detection algorithms,08/08/2023
211,https://seedfund.nsf.gov/awardees/history/details/?company=amie-health-inc,AMIE HEALTH INC.,"DOVER, DE",SBIR Phase I: Artificial Intelligence (AI) chatbot providing flare-up support for patients with endometriosis,08/08/2023
213,https://seedfund.nsf.gov/awardees/history/details/?company=phoenix-waste-solutions-inc,PHOENIX WASTE SOLUTIONS INC.,"CHAUVIN, LA",SBIR Phase II: CAS: Advanced Scalable and Sustainable Waste Disposal System,08/08/2023
214,https://seedfund.nsf.gov/awardees/history/details/?company=skygig-llc,"SKYGIG, LLC","ANN ARBOR, MI",SBIR Phase II: Power-Optimized Beamforming Front-End Technology for High-Capacity Millimeter-Wave Wireless Communications,08/08/2023
215,https://seedfund.nsf.gov/awardees/history/details/?company=unspace-llc,UNSPACE LLC,"PORT ARANSAS, TX",SBIR Phase I: Resilient Gravitronic Communication System,08/08/2023
219,https://seedfund.nsf.gov/awardees/history/details/?company=heykiddo-llc,"HEYKIDDO, LLC","PHILADELPHIA, PA","SBIR Phase II: A Parent Coaching App to Help Support Children's Mental, Social and Emotional Health",08/04/2023
220,https://seedfund.nsf.gov/awardees/history/details/?company=prairielearn-inc,"PRAIRIELEARN, INC.","CHAMPAIGN, IL",SBIR Phase I: An online learning and assessment platform for sophisticated and secure exams,08/04/2023
221,https://seedfund.nsf.gov/awardees/history/details/?company=roplagarin-llc,ROPLAGARIN LLC,"RENO, NV",SBIR Phase I: Narrative interface technology to support two-way human-computer interaction for the disabled community,08/04/2023
222,https://seedfund.nsf.gov/awardees/history/details/?company=soilserdem-llc,SOILSERDEM LLC,"AMES, IA","SBIR Phase II: Creating high-quality, lower-cost soil maps using machine learning algorithms",08/03/2023
223,https://seedfund.nsf.gov/awardees/history/details/?company=vitidore-inc,"VITIDORE, INC.","SPOKANE, WA",SBIR Phase I: Development of a multi-output machine learning modeling framework for a hybridized perennial cover crop for specialty crop systems,08/03/2023
224,https://seedfund.nsf.gov/awardees/history/details/?company=exopower-inc,EXOPOWER INC.,"LAFAYETTE, CO","SBIR Phase I: In-Motion, Capacitive, Wireless Charging System for Material Handling Vehicles",08/02/2023
226,https://seedfund.nsf.gov/awardees/history/details/?company=abstractive-health-inc,"ABSTRACTIVE HEALTH, INC.","NEW YORK, NY",SBIR Phase I: A tool to automate a narrative patient summary of the medical chart for outpatient physicians,07/31/2023
230,https://seedfund.nsf.gov/awardees/history/details/?company=aalmv-inc,AALMV INC.,"SAINT PETERSBURG, FL",SBIR Phase I: Mission Planning Methods and Simulated Crisis Management Framework to teach STEM to Underserved Youth,07/25/2023
231,https://seedfund.nsf.gov/awardees/history/details/?company=cambridge-terahertz-inc,CAMBRIDGE TERAHERTZ INC,"CAMBRIDGE, MA",SBIR Phase I: Terahertz Imaging Radar for Law Enforcement,07/25/2023
234,https://seedfund.nsf.gov/awardees/history/details/?company=macula-vision-systems-inc,MACULA VISION SYSTEMS INC.,"TUCSON, AZ",SBIR Phase I: Automated Gram Stain Interpretation Via Digital Holographic Microscopy,07/25/2023
240,https://seedfund.nsf.gov/awardees/history/details/?company=shamrck-social-impact-corp,SHAMRCK SOCIAL IMPACT CORP,"AUGUSTA, GA","SBIR Phase I: Solving Minority Equity in Science, Technology, Engineering, and Mathematics (STEM) with Artificial Intelligence (AI)-Driven Workforce Development",07/25/2023
