,Link,Company,Location,Title,Date
80,https://seedfund.nsf.gov/awardees/history/details/?company=123-see-inc,"123 SEE, INC.","BOSTON, MA",SBIR Phase II: Gaze-independent contactless autorefractor for self-serve eye exam kiosk.,09/20/2023
81,https://seedfund.nsf.gov/awardees/history/details/?company=aidar-health-inc,"AIDAR HEALTH, INC","PIKESVILLE, MD",STTR Phase II: Development of a Smart Remote Health Management System for Patients with Kidney Disease,09/20/2023
84,https://seedfund.nsf.gov/awardees/history/details/?company=dextrous-robotics-inc,"DEXTROUS ROBOTICS, INC.","MEMPHIS, TN",SBIR Phase II: Automated Perception for Robotic Chopsticks Manipulating Small and Large Objects in Constrained Spaces,09/20/2023
85,https://seedfund.nsf.gov/awardees/history/details/?company=emtruth-inc,"EMTRUTH, INC.","GLENDALE, CA",SBIR Phase II: A Platform for Health Care Data Integration Using Blockchain and Artificial Intelligence,09/20/2023
87,https://seedfund.nsf.gov/awardees/history/details/?company=kcore-analytics-llc,KCORE ANALYTICS LLC,"NEW YORK, NY",SBIR Phase I: Artificial Intelligence and Network Theory for Elections,09/20/2023
89,https://seedfund.nsf.gov/awardees/history/details/?company=lisa-fitzpatrick--associates-md-pc,LISA FITZPATRICK & ASSOCIATES MD PC,"WASHINGTON, DC",SBIR Phase II: HealthText: Providing digital healthcare navigation for underserved communities in the US,09/20/2023
93,https://seedfund.nsf.gov/awardees/history/details/?company=qasai-inc,QAS.AI INC,"EAST AMHERST, NY",SBIR Phase II: An AI-Enhanced Angiographic System to Guide Endovascular Treatment of Intracranial Aneurysms,09/20/2023
96,https://seedfund.nsf.gov/awardees/history/details/?company=smart-girls-hq-llc,SMART GIRLS HQ LLC,"CHARLOTTE, NC",SBIR Phase II: A Digital Platform That Engages Elementary Aged Girls in STEM Through Personalized Informal Learning,09/20/2023
97,https://seedfund.nsf.gov/awardees/history/details/?company=solarid-ar-llc,"SOLARID AR, LLC.","CLINTON, AR",SBIR Phase II: Real-time computer automated identification and quantification of insects entering the SolaRid insect control device (ICD),09/20/2023
98,https://seedfund.nsf.gov/awardees/history/details/?company=sunthetics-inc,"SUNTHETICS, INC.","SAN MARCOS, TX",SBIR Phase II: Accelerating R&D through Streamlined Machine Learning Algorithms for Small Data Applications in Advanced Manufacturing,09/20/2023
104,https://seedfund.nsf.gov/awardees/history/details/?company=vectech-llc,"VECTECH, LLC","BALTIMORE, MD",SBIR Phase II: Advanced Computer Vision Methods for Diagnostic Medical Entomology,09/20/2023
106,https://seedfund.nsf.gov/awardees/history/details/?company=diamond-age-technology-llc,DIAMOND AGE TECHNOLOGY LLC,"HOUSTON, TX",SBIR Phase II: Composing Digital-Twins from Disparate Data Sources,09/18/2023
113,https://seedfund.nsf.gov/awardees/history/details/?company=pointpro-inc,"POINTPRO, INC.","COLUMBUS, OH",SBIR Phase I: A Fully Autonomous Prognostic Digital Twin for Smart Manufacturing,09/15/2023
119,https://seedfund.nsf.gov/awardees/history/details/?company=epiimaging-llc,"EPIImaging, LLC","LOS ALTOS, CA",SBIR Phase II: Epipolar-Plane Imaging for Robot 3D Vision,09/14/2023
123,https://seedfund.nsf.gov/awardees/history/details/?company=labby-inc,LABBY INC.,"BRIGHTON, MA",SBIR Phase II: Artificial intelligence powered optical spectrometer technology for farm-level milk testing,09/14/2023
124,https://seedfund.nsf.gov/awardees/history/details/?company=lambda-function-inc,"LAMBDA FUNCTION, INC.","BRENTWOOD, CA",SBIR Phase II: An artificial intelligence system for autonomous numerical control programming for advanced manufacturing,09/14/2023
136,https://seedfund.nsf.gov/awardees/history/details/?company=zanet-analytics-corporation,ZANET ANALYTICS CORPORATION,"EASTON, PA",SBIR Phase I: A Technology-Enhanced Statistics Learning Software App,09/14/2023
137,https://seedfund.nsf.gov/awardees/history/details/?company=lavo-life-sciences-inc,LAVO LIFE SCIENCES INC,"ATLANTA, GA",SBIR Phase I: A physics-based machine learning platform for crystal structure prediction of small drug molecules,09/13/2023
142,https://seedfund.nsf.gov/awardees/history/details/?company=esm-global-productions-llc,ESM GLOBAL PRODUCTIONS LLC,"PORTLAND, ME",SBIR Phase I: Artificial Intelligence (AI)-Enabled African Language Database,09/08/2023
145,https://seedfund.nsf.gov/awardees/history/details/?company=metabob-inc,METABOB INC,"MOUNTAIN VIEW, CA",SBIR Phase I: The Development of an Artificial Analysis (AI) Static Code Analysis Platform to Increase Software Developer Productivity,09/08/2023
147,https://seedfund.nsf.gov/awardees/history/details/?company=alerje-inc,"ALERJE, INC.","DETROIT, MI",SBIR Phase II: A digital platform to support food allergy oral immunotherapy treatments,09/07/2023
148,https://seedfund.nsf.gov/awardees/history/details/?company=biotronic-innovations-llc,BIOTRONIC INNOVATIONS LLC,"FLAGSTAFF, AZ",SBIR Phase I: Path Planning for Multi-target Search and Localization in Co-Robotic Architectures,09/07/2023
150,https://seedfund.nsf.gov/awardees/history/details/?company=l5-automation-inc,L5 AUTOMATION INC.,"LA CANADA FLINTRIDGE, CA",SBIR Phase I: Trajectory Optimizations and Learned Foliage Manipulation to Accelerate Throughput in Automated Strawberry Harvesting,09/07/2023
151,https://seedfund.nsf.gov/awardees/history/details/?company=livedx-inc,LIVEDX INC.,"DENVER, CO",SBIR Phase I: An inclusive machine learning-based digital platform to credential soft skills,09/07/2023
153,https://seedfund.nsf.gov/awardees/history/details/?company=surgic-llc,"SURGIC, LLC","LUBBOCK, TX",SBIR Phase I: Surgical training platform with customizable training scenarios enabled by 3D printing and artificial intelligence,09/07/2023
159,https://seedfund.nsf.gov/awardees/history/details/?company=grain-weevil-corporation,GRAIN WEEVIL CORPORATION,"AURORA, NE",SBIR Phase II: Improving farmer safety and grain storage efficiencies via an autonomous grain management and extraction robot,09/05/2023
160,https://seedfund.nsf.gov/awardees/history/details/?company=little-room-innovations-llc,"LITTLE ROOM INNOVATIONS, LLC","ANN ARBOR, MI",STTR Phase I: A Novel Prescription Process that Customizes Prosthetic Feet for Individual Patients,09/05/2023
161,https://seedfund.nsf.gov/awardees/history/details/?company=madison-scientific-inc,"MADISON SCIENTIFIC, INC.","MADISON, WI",SBIR Phase II: Smart Shunt to Treat Hydrocephalus,09/05/2023
165,https://seedfund.nsf.gov/awardees/history/details/?company=voltela-inc,VOLTELA INC,"NEW YORK, NY",SBIR Phase II: A software-based tool for beyond visual line of sight (BVLOS) drone's connection reliability enhancement,09/05/2023
167,https://seedfund.nsf.gov/awardees/history/details/?company=empallo-inc,"EMPALLO, INC.","ATLANTA, GA",SBIR Phase I: Developing Artificial intelligence Models to Predict In-hospital Clinical Trajectories for Heart Failure Patients,08/30/2023
169,https://seedfund.nsf.gov/awardees/history/details/?company=earth-mapping-international-inc,"Earth Mapping International, Inc.","NORCROSS, GA",SBIR Phase I: Dynamic OneSource Geospatial Information System for Maximizing Agricultural Yields,08/29/2023
172,https://seedfund.nsf.gov/awardees/history/details/?company=marwell-bio-inc,MARWELL BIO INC.,"SOUTH SAN FRANCISCO, CA",SBIR Phase I: Advanced Deep Learning Technologies for Designing Humanized Antibody,08/29/2023
175,https://seedfund.nsf.gov/awardees/history/details/?company=sown-to-grow-inc,"SOWN TO GROW, INC.","OAKLAND, CA",SBIR Phase I: Sown To Grow - Measuring Growth in Trusting Relationships between Students and Educators with Natural Language Processing and Machine Learning Technologies,08/29/2023
179,https://seedfund.nsf.gov/awardees/history/details/?company=matmerize-inc,"MATMERIZE, INC.","DOVER, DE",SBIR Phase I: A Physics-Informed/Encoded Polymer Informatics Platform for Accelerated Development of Advanced Polymers and Formulations,08/25/2023
183,https://seedfund.nsf.gov/awardees/history/details/?company=qubitsolve-inc,QUBITSOLVE INC.,"MORGANTOWN, WV",SBIR Phase I: Computational Fluid Dynamics Software for Quantum Computers,08/25/2023
